Planet_Name,System_Distance_PC,Star_Temperature_K,System_Infrared_Magnitude
TOI-1259 A b,118.106,4775.0,9.619
TOI-1273 b,177.118,5690.0,9.417
TOI-201 b,113.825,6394.0,7.846
TOI-4504 c,342.605,5315.0,11.236
TOI-4633 c,95.2016,5800.0,7.349
HAT-P-55 b,511.388,5804.0,11.627
HD 183579 b,57.2651,5784.0,7.15
HIP 8152 b,101.694,5618.0,8.449
Kepler-37 c,63.9207,5357.0,7.942
HAT-P-4 b,320.451,5860.0,9.770001
Kepler-58 c,969.252,5843.0,13.283
Kepler-80 c,369.451,4540.0,12.253
TOI-2373 b,508.686,5651.0,11.586
KELT-8 b,197.572,5754.0,9.177
Kepler-117 c,1455.57,6150.0,13.011
Kepler-23 b,835.756,5828.0,11.998
Kepler-30 c,914.221,5498.0,13.581
TOI-3071 b,485.219,6177.0,11.005
TOI-4582 b,383.846,5190.0,9.329001
TOI-5076 b,82.857,5070.0,8.582
HATS-45 b,772.11,6450.0,12.137
Kepler-408 b,88.7832,6104.0,7.486
TOI-1444 b,125.463,5460.0,9.061
CoRoT-26 b,1045.18,5590.0,13.261
KOI-1783.01,865.73,5922.0,12.621
Kepler-35 b,1819.17,5606.0,13.875
Kepler-91 b,1294.69,4550.0,10.136
Kepler-102 f,107.796,4909.0,9.351
