Planet_Mass_Earth,Equilibrium_Temperature,Planet_Radius_Earth,Category,Category_Index,features_cat,rawPrediction,probability,prediction
195.14664,1237,12.543,Gas Giant,0.0,"[195.14664,1237.0,12.543]","[9.988344988344988,0.011655011655011656]","[0.9988344988344988,0.0011655011655011655]",0.0
4.97,1774,1.67,Rocky Planet,1.0,"[4.97,1774.0,1.67]","[0.0,10.0]","[0.0,1.0]",1.0
41.89,306,7.27,Gas Giant,0.0,"[41.89,306.0,7.27]","[9.988344988344988,0.011655011655011656]","[0.9988344988344988,0.0011655011655011655]",0.0
13.4,430,2.606,Gas Giant,0.0,"[13.4,430.0,2.606]","[9.953862229724297,0.04613777027570131]","[0.99538622297243,0.004613777027570132]",0.0
16.1,688,2.771,Gas Giant,0.0,"[16.1,688.0,2.771]","[9.953862229724297,0.04613777027570131]","[0.99538622297243,0.004613777027570132]",0.0
677.61356,1053,12.038,Gas Giant,0.0,"[677.61356,1053.0,12.038]","[9.988344988344988,0.011655011655011656]","[0.9988344988344988,0.0011655011655011655]",0.0
1.4,1269,1.216,Rocky Planet,1.0,"[1.4,1269.0,1.216]","[0.0,10.0]","[0.0,1.0]",1.0
260.61929,1531,15.278,Gas Giant,0.0,"[260.61929,1531.0,15.278]","[9.988344988344988,0.011655011655011656]","[0.9988344988344988,0.0011655011655011655]",0.0
200.2319,2410,17.374,Gas Giant,0.0,"[200.2319,2410.0,17.374]","[9.988344988344988,0.011655011655011656]","[0.9988344988344988,0.0011655011655011655]",0.0
6.0,438,1.199,Rocky Planet,1.0,"[6.0,438.0,1.199]","[0.0,10.0]","[0.0,1.0]",1.0
5.2,482,1.92,Rocky Planet,1.0,"[5.2,482.0,1.92]","[0.0,10.0]","[0.0,1.0]",1.0
14.95,582,5.14,Gas Giant,0.0,"[14.95,582.0,5.14]","[9.988344988344988,0.011655011655011656]","[0.9988344988344988,0.0011655011655011655]",0.0
25.0,847,4.901,Gas Giant,0.0,"[25.0,847.0,4.901]","[9.988344988344988,0.011655011655011656]","[0.9988344988344988,0.0011655011655011655]",0.0
2.1,1066,1.212,Rocky Planet,1.0,"[2.1,1066.0,1.212]","[0.0,10.0]","[0.0,1.0]",1.0
38.1396,1084,6.311,Gas Giant,0.0,"[38.1396,1084.0,6.311]","[9.988344988344988,0.011655011655011656]","[0.9988344988344988,0.0011655011655011655]",0.0
131.89945,1228,11.5,Gas Giant,0.0,"[131.89945,1228.0,11.5]","[9.988344988344988,0.011655011655011656]","[0.9988344988344988,0.0011655011655011655]",0.0
3.26,2188,1.47,Rocky Planet,1.0,"[3.26,2188.0,1.47]","[0.0,10.0]","[0.0,1.0]",1.0
