Planet_Name,Semi_Major_Axis_AU,Equilibrium_Temperature,Habitable_Zone_Status
Kepler-7 b,0.06067,1630,Not Habitable
PH1 b,0.652,481,Not Habitable
TOI-1075 b,0.01159,1323,Not Habitable
HD 152843 c,0.11312557679914075,1102,Not Habitable
Kepler-1658 b,0.0544,1102,Not Habitable
Kepler-75 b,0.0818,767,Not Habitable
HAT-P-1 b,0.05561,1322,Not Habitable
HD 235088 b,0.071,754,Not Habitable
HD 80606 b,0.11312557679914075,1102,Not Habitable
Kepler-131 b,0.11312557679914075,1102,Not Habitable
Kepler-96 b,0.11312557679914075,1102,Not Habitable
K2-97 b,0.0854,1566,Not Habitable
Kepler-98 b,0.11312557679914075,1102,Not Habitable
TOI-1842 b,0.1,1200,Not Habitable
EPIC 220674823 b,0.01326,2300,Not Habitable
NGTS-24 b,0.0479,1499,Not Habitable
TOI-4406 b,0.201,904,Not Habitable
GJ 9827 d,0.053,675,Not Habitable
K2-132 b,0.11312557679914075,1102,Not Habitable
K2-287 b,0.1206,804,Not Habitable
Kepler-31 d,0.4,1102,Not Habitable
TOI-2285 b,0.1363,284,Not Habitable
TOI-3894 b,0.05354,1531,Not Habitable
