radius,mass,temperature,Discovery_Method,Discovery_Method_Index,features,rawPrediction,probability,prediction
11.27,106.0,806,Transit,0.0,"[11.27,106.0,806.0]","[9.890396441804915,0.08967576930734998,0.01627875013734308,0.003649038750390492]","[0.9890396441804917,0.008967576930735,0.0016278750137343082,0.0003649038750390493]",0.0
2.355,6.15,488,Transit,0.0,"[2.355,6.15,488.0]","[9.641890461460394,0.34915305812679465,0.004659219064289498,0.004297261348521537]","[0.9641890461460395,0.03491530581267947,0.0004659219064289499,0.0004297261348521538]",0.0
15.917,1093.3352,1102,Transit,0.0,"[15.917,1093.3352,1102.0]","[9.865554674163507,0.12013064793297594,0.011904796526112196,0.0024098813774041227]","[0.9865554674163507,0.012013064793297595,0.0011904796526112196,0.00024098813774041226]",0.0
8.059,29.875,984,Transit,0.0,"[8.059,29.875,984.0]","[9.890396441804915,0.08967576930734998,0.01627875013734308,0.003649038750390492]","[0.9890396441804917,0.008967576930735,0.0016278750137343082,0.0003649038750390493]",0.0
2.287,7.72,521,Transit,0.0,"[2.287,7.72,521.0]","[9.641890461460394,0.34915305812679465,0.004659219064289498,0.004297261348521537]","[0.9641890461460395,0.03491530581267947,0.0004659219064289499,0.0004297261348521538]",0.0
14.28,129.03833,1512,Transit,0.0,"[14.28,129.03833,1512.0]","[9.890396441804915,0.08967576930734998,0.01627875013734308,0.003649038750390492]","[0.9890396441804917,0.008967576930735,0.0016278750137343082,0.0003649038750390493]",0.0
2.13,3.34,693,Transit,0.0,"[2.13,3.34,693.0]","[9.774794089437373,0.2195162276397241,0.0013157894736842105,0.004373893449219379]","[0.9774794089437371,0.021951622763972403,0.00013157894736842102,0.0004373893449219378]",0.0
13.776,533.95172,1102,Transit,0.0,"[13.776,533.95172,1102.0]","[9.890396441804915,0.08967576930734998,0.01627875013734308,0.003649038750390492]","[0.9890396441804917,0.008967576930735,0.0016278750137343082,0.0003649038750390493]",0.0
1.281,12.81,790,Transit,0.0,"[1.281,12.81,790.0]","[9.518139820194614,0.4487481529059087,0.006969253813247919,0.02614277308623009]","[0.9518139820194614,0.04487481529059087,0.0006969253813247919,0.002614277308623009]",0.0
12.22,317.82,1544,Transit,0.0,"[12.22,317.82,1544.0]","[9.890396441804915,0.08967576930734998,0.01627875013734308,0.003649038750390492]","[0.9890396441804917,0.008967576930735,0.0016278750137343082,0.0003649038750390493]",0.0
11.545,147.15455,687,Transit,0.0,"[11.545,147.15455,687.0]","[9.902431452745835,0.08092303407759067,0.014090566329903255,0.0025549468466705798]","[0.9902431452745836,0.008092303407759068,0.0014090566329903254,0.00025549468466705796]",0.0
